Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Patrick Beverley,MIN,19,34,2,1,3,0.333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,0.500966667,0.333333333,0.333333333,2,0,0,0,0,7.317073171
Bam Adebayo,MIA,19,37,6,2,6,0.333333333,0,0,0,0,2,4,0,0,0,1,1,0,0,0.460383333,0.333333333,0.428571429,0,0,0,0,0,25.64102564
Duncan Robinson,MIA,19,34,3,0,0,0,1,5,0.2,0.2,0,0,0,3,0,0,0,1,1,0.5343,0.3,0.3,0,0,0,0,0,13.51351351
Christian Wood,HOU,19,36,13,2,5,0.4,1,2,0.5,0.5,6,2,2,3,0,0.5,0.5,1,0.285714286,0.542507143,0.5,0.590909091,0,2,0.4,0,0,30.76923077
Franz Wagner,ORL,19,34,12,3,5,0.6,1,3,0.333333333,0.333333333,3,2,4,0,3,0.333333333,0.333333333,0,0.375,0.5872,0.5625,0.666666667,0,1,0.2,0,0,24.32432432
Kevin Porter Jr.,HOU,18,35,5,1,2,0.5,1,2,0.5,0.5,0,0,2,0,3,0,0,0,0.5,0.484125,0.625,0.625,0,0,0,0,0,12.82051282
David Duke Jr.,BKN,18,34,9,2,4,0.5,1,3,0.333333333,0.333333333,2,0,4,3,0,0,0,1,0.428571429,0.618621429,0.5,0.5625,2,0,0,0,0,20
Evan Fournier,NYK,18,36,17,1,3,0.333333333,5,11,0.454545455,0.454545455,0,2,0,15,0,1,1,1,0.785714286,0.517264286,0.607142857,0.607142857,0,0,0,1,0.090909091,39.47368421
Cade Cunningham,DET,18,39,15,6,9,0.666666667,1,4,0.25,0.25,0,0,12,3,0,0,0,1,0.307692308,0.439330769,0.576923077,0.576923077,0,1,0.111111111,1,0.25,35.55555556
Frank Jackson,DET,18,39,12,2,6,0.333333333,2,5,0.4,0.4,2,4,0,3,3,1,1,0.5,0.454545455,0.490654545,0.454545455,0.5,0,1,0.166666667,0,0,30.23255814
Cedi Osman,CLE,17,35,2,1,3,0.333333333,0,3,0,0,0,0,2,0,0,0,0,0,0.5,0.485641667,0.166666667,0.166666667,0,1,0.333333333,0,0,18.42105263
Jalen McDaniels,CHA,17,32,4,2,4,0.5,0,2,0,0,0,2,2,0,0,0.5,0.5,0,0.333333333,0.604358333,0.333333333,0.285714286,0,0,0,0,0,20
Cole Anthony,ORL,17,34,14,5,5,1,1,6,0.166666667,0.166666667,1,0,10,0,3,0,0,0,0.545454545,0.451886364,0.590909091,0.583333333,0,0,0,1,0.166666667,37.14285714
Ivica Zubac,LAC,17,32,6,1,1,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0.6094,1,0.6,2,0,0,0,0,12.5
Lonnie Walker IV,SAS,17,35,2,1,1,1,0,2,0,0,0,2,0,0,0,1,1,0,0.666666667,0.5408,0.333333333,0.333333333,0,0,0,0,0,7.317073171
Garrison Mathews,HOU,16,31,13,1,1,1,3,3,1,1,2,2,0,9,0,1,1,1,0.75,0.5681625,1.375,1.3,0,0,0,0,0,14.28571429
Kessler Edwards,BKN,16,29,2,1,2,0.5,0,1,0,0,0,0,2,0,0,0,0,0,0.333333333,0.5256,0.333333333,0.333333333,2,0,0,0,0,7.692307692
Andre Drummond,PHI,16,32,9,4,4,1,0,0,0,0,1,2,6,0,0,0.25,0.5,0,0,0.5501,1,0.9,4,0,0,0,0,13.51351351
Devin Booker,PHX,16,25,14,6,6,1,0,2,0,0,2,6,6,0,0,0.5,0.5,0,0.25,0.42994375,0.75,0.7,0,0,0,0,0,37.03703704
Timothe Luwawu-Cabarrot,ATL,16,27,3,0,2,0,1,3,0.333333333,0.333333333,0,0,0,3,0,0,0,1,0.6,0.60064,0.3,0.3,0,0,0,0,0,15.625
Dean Wade,CLE,16,28,3,0,1,0,1,4,0.25,0.25,0,0,0,3,0,0,0,1,0.8,0.4839,0.3,0.3,0,0,0,0,0,15.15151515
Giannis Antetokounmpo,MIL,16,24,13,5,6,0.833333333,0,0,0,0,3,4,6,0,0,0.4,0.4,0,0,0.662216667,0.833333333,0.928571429,0,0,0,0,0,32.14285714
Nic Claxton,BKN,16,24,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.7445,1,1,0,0,0,0,0,3.703703704
Lauri Markkanen,CLE,15,33,9,3,3,1,1,2,0.5,0.5,0,2,4,3,0,0.333333333,1,1,0.4,0.5789,0.9,0.9,4,0,0,0,0,13.15789474
Gary Harris,ORL,15,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.568575,0,0,0,0,0,0,0,8.571428571
Dillon Brooks,MEM,15,31,9,2,5,0.4,1,4,0.25,0.25,2,4,0,3,0,1,1,1,0.444444444,0.452622222,0.388888889,0.45,0,0,0,0,0,36.36363636
Nicolas Batum,LAC,15,29,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.50985,1.5,1.5,0,0,0,0,0,5.714285714
Jimmy Butler,MIA,15,27,4,2,3,0.666666667,0,2,0,0,0,2,2,0,0,0.5,0.5,0,0.4,0.46872,0.4,0.4,0,0,0,0,0,28.57142857
Bruce Brown,BKN,14,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59475,0,0,0,0,0,0,0,6.666666667
Wendell Carter Jr.,ORL,14,29,2,1,2,0.5,0,2,0,0,0,2,0,0,0,1,1,0,0.5,0.5091,0.25,0.25,0,0,0,0,0,12.90322581
Juan Toscano-Anderson,GSW,14,27,6,2,2,1,0,0,0,0,2,2,2,0,0,0.5,0.5,0,0,0.3296,1,1,0,0,0,0,0,13.33333333
Romeo Langford,BOS,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Thomas,BKN,14,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55955,0,0,0,0,0,0,0,5.882352941
Taj Gibson,NYK,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Campazzo,DEN,14,27,4,1,1,1,0,2,0,0,2,0,2,0,0,0,0,0,0.666666667,0.485866667,0.333333333,0.5,0,0,0,0,0,12.90322581
Sterling Brown,DAL,14,25,2,1,3,0.333333333,0,2,0,0,0,2,0,0,0,1,1,0,0.4,0.44681,0.2,0.2,0,0,0,0,0,23.07692308
Tyus Jones,MEM,14,25,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4337,1,1,0,0,0,0,0,3.125
Cameron Payne,PHX,14,21,7,1,2,0.5,1,1,1,1,2,0,2,3,0,0,0,1,0.333333333,0.590716667,0.833333333,0.875,0,0,0,0,0,18.18181818
Hamidou Diallo,DET,14,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424066667,0,0,0,0,0,0,0,11.42857143
Terrence Ross,ORL,14,24,11,2,3,0.666666667,1,4,0.25,0.25,4,4,0,3,0,1,1,1,0.571428571,0.484678571,0.5,0.611111111,0,0,0,0,0,33.33333333
Ayo Dosunmu,CHI,13,25,9,2,3,0.666666667,1,1,1,1,2,2,2,3,0,0.5,1,1,0.25,0.5343125,0.875,0.75,2,1,0.333333333,0,0,24.13793103
Gary Payton II,GSW,13,23,5,1,1,1,1,1,1,1,0,2,0,3,0,1,1,1,0.5,0.476775,1.25,1.25,0,0,0,0,0,8
Isaiah Stewart,DET,13,29,4,2,3,0.666666667,0,0,0,0,0,0,4,0,0,0,0,0,0,0.649166667,0.666666667,0.666666667,4,0,0,0,0,9.375
DeAndre' Bembry,BKN,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG Anunoby,TOR,13,25,5,1,1,1,1,5,0.2,0.2,0,0,2,3,0,0,0,1,0.833333333,0.55415,0.416666667,0.416666667,0,0,0,0,0,20
Mo Bamba,ORL,13,26,5,1,1,1,1,1,1,1,0,0,2,3,0,0,0,1,0.5,0.59545,1.25,1.25,2,0,0,0,0,7.142857143
Tre Mann,OKC,13,26,3,0,3,0,1,1,1,1,0,0,0,3,0,0,0,1,0.25,0.428625,0.375,0.375,0,1,0.333333333,0,0,13.33333333
Talen Horton-Tucker,LAL,12,20,4,2,3,0.666666667,0,1,0,0,0,4,0,0,0,1,1,0,0.25,0.5688625,0.5,0.5,0,0,0,0,0,17.39130435
Garrett Temple,NOP,12,21,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.486,1.5,1.5,0,0,0,0,0,3.571428571
Bogdan Bogdanovic,ATL,12,26,9,3,6,0.5,1,4,0.25,0.25,0,0,6,3,0,0,0,1,0.4,0.428925,0.45,0.45,0,0,0,0,0,29.41176471
Khris Middleton,MIL,12,24,10,1,3,0.333333333,1,2,0.5,0.5,5,0,2,3,0,0,0,1,0.4,0.41765,0.5,0.642857143,0,0,0,0,0,28.57142857
Jordan Poole,GSW,12,27,6,1,4,0.25,0,4,0,0,4,0,2,0,0,0,0,0,0.5,0.50878125,0.125,0.3,0,1,0.25,0,0,37.5
Kelan Martin,IND,12,20,3,0,0,0,1,3,0.333333333,0.333333333,0,0,0,3,0,0,0,1,1,0.54075,0.5,0.5,0,0,0,0,0,18.18181818
Payton Pritchard,BOS,12,25,7,2,2,1,1,2,0.5,0.5,0,0,4,0,3,0,0,0,0.5,0.487075,0.875,0.875,0,0,0,0,0,14.81481481
Ish Smith,CHA,12,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545233333,0,0,0,0,0,0,0,14.28571429
Michael Porter Jr.,DEN,12,19,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.40985,0,0,0,0,0,0,0,15
Jordan Clarkson,UTA,12,16,2,1,2,0.5,0,1,0,0,0,2,0,0,0,1,1,0,0.333333333,0.443983333,0.333333333,0.333333333,0,0,0,0,0,15
Alex Len,SAC,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Vincent,MIA,11,16,6,0,1,0,2,2,1,1,0,0,0,6,0,0,0,1,0.666666667,0.540883333,1,1,0,0,0,0,0,23.52941176
Kemba Walker,NYK,11,23,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.483683333,0,0,0,0,0,0,0,11.11111111
Oshae Brissett,IND,11,19,6,1,1,1,1,2,0.5,0.5,1,0,2,3,0,0,0,1,0.666666667,0.549683333,0.833333333,0.75,2,0,0,0,0,17.39130435
Furkan Korkmaz,PHI,11,19,3,0,1,0,1,1,1,1,0,0,0,3,0,0,0,1,0.5,0.4519,0.75,0.75,0,0,0,0,0,9.523809524
Chris Boucher,TOR,11,19,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.46485,0.5,0.5,0,1,0.5,0,0,14.28571429
Denzel Valentine,CLE,11,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.560175,0,0,0,0,0,0,0,13.04347826
Bobby Portis,MIL,10,19,11,1,2,0.5,2,2,1,1,3,2,0,6,0,1,1,1,0.5,0.5308875,1,0.916666667,0,0,0,0,0,26.08695652
Xavier Tillman,MEM,10,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4126,0,0,0,0,0,0,0,4.545454545
Ziaire Williams,MEM,10,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0.5173,0,0,0,0,0,0,0,13.04347826
Keita Bates-Diop,SAS,10,18,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.397,0.5,0.5,0,0,0,0,0,9.090909091
Rajon Rondo,LAL,10,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.354475,0,0,0,0,0,0,0,9.523809524
Javonte Green,CHI,10,18,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.52865,0.5,0.5,2,1,0.5,0,0,8.695652174
Danilo Gallinari,ATL,10,19,2,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0.5,0.64215,0.5,0.5,0,0,0,0,0,9.523809524
Max Strus,MIA,10,16,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.56145,1.5,1.5,0,0,0,0,0,6.25
Tristan Thompson,SAC,9,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5561,0,0,0,0,0,0,0,28.57142857
Jordan Nwora,MIL,9,15,4,2,6,0.333333333,0,0,0,0,0,4,0,0,0,1,1,0,0,0.6161,0.333333333,0.333333333,0,0,0,0,0,27.27272727
Alperen Sengun,HOU,9,19,7,3,4,0.75,0,1,0,0,1,4,2,0,0,0.666666667,0.666666667,0,0.2,0.58018,0.6,0.7,0,0,0,0,0,27.27272727
Terence Davis,SAC,9,16,7,2,2,1,1,3,0.333333333,0.333333333,0,2,2,3,0,0.5,0.5,1,0.6,0.58198,0.7,0.7,0,0,0,0,0,31.57894737
Jalen Green,HOU,9,20,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0.5,0.4642875,0,0.2,0,0,0,1,0.5,26.08695652
Kent Bazemore,LAL,9,17,5,1,2,0.5,1,2,0.5,0.5,0,2,0,3,0,1,1,1,0.5,0.4985125,0.625,0.625,0,0,0,0,0,17.39130435
Austin Rivers,DEN,9,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.38835,0,0,0,0,0,0,0,4.166666667
Doug McDermott,SAS,9,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.53625,0,0,0,0,0,0,0,9.523809524
Trey Burke,DAL,9,11,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.666666667,0.431966667,0,0,0,0,0,0,0,27.27272727
Trey Lyles,DET,9,23,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0.496275,0,0.5,0,0,0,0,0,20.83333333
Frank Ntilikina,DAL,9,14,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.142857143
De'Andre Hunter,ATL,8,17,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.4332625,0,0,0,1,0.5,0,0,17.39130435
Kevon Looney,GSW,8,13,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4962,1,1,0,0,0,0,0,14.28571429
Jeremy Lamb,IND,8,16,3,0,2,0,1,4,0.25,0.25,0,0,0,0,3,0,0,0,0.666666667,0.415925,0.25,0.25,0,1,0.5,0,0,30
Landry Shamet,PHX,8,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.57795,0,0,0,0,0,0,0,5
Damian Jones,SAC,8,12,4,2,3,0.666666667,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.482966667,0.666666667,0.666666667,2,1,0.333333333,0,0,18.75
Brandon Clarke,MEM,8,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6298,0,0.25,0,0,0,0,0,14.28571429
Kevin Love,CLE,8,17,3,0,1,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.666666667,0.455016667,0.5,0.5,0,0,0,0,0,13.63636364
Joe Harris,BKN,8,16,2,1,2,0.5,0,1,0,0,0,2,0,0,0,1,1,0,0.333333333,0.5138,0.333333333,0.333333333,0,0,0,0,0,15
Aaron Holiday,WAS,8,11,5,1,1,1,1,1,1,1,0,0,2,0,3,0,0,0,0.5,0.51215,1.25,1.25,0,0,0,0,0,18.18181818
Taurean Prince,MIN,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667
Amir Coffey,LAC,8,14,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.3933,0,0.5,0,0,0,0,0,13.33333333
Davis Bertans,WAS,7,16,3,0,0,0,1,3,0.333333333,0.333333333,0,0,0,3,0,0,0,1,1,0.51635,0.5,0.5,0,0,0,0,0,20
P.J. Dozier,DEN,7,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.487125,0,0,0,0,0,0,0,12.5
Cam Reddish,ATL,7,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3722,0,0,0,0,0,0,0,4
Maurice Harkless,SAC,7,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4911,0,0,0,0,0,0,0,12.5
Corey Kispert,WAS,7,13,2,1,1,1,0,2,0,0,0,2,0,0,0,1,1,0,0.666666667,0.610116667,0.333333333,0.333333333,0,0,0,0,0,17.64705882
Nemanja Bjelica,GSW,7,13,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.52815,0.75,0.75,0,0,0,0,0,14.28571429
Derrick Favors,OKC,7,14,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.415,1,1,0,0,0,0,0,5.263157895
Joe Ingles,UTA,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Hartenstein,LAC,7,11,6,3,3,1,0,0,0,0,0,6,0,0,0,1,1,0,0,0.609566667,1,1,0,0,0,0,0,27.27272727
Dwight Howard,LAL,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Nowell,MIN,6,11,9,3,4,0.75,1,2,0.5,0.5,0,2,4,3,0,0.333333333,0.333333333,1,0.333333333,0.535325,0.75,0.75,0,0,0,0,0,50
Chimezie Metu,SAC,6,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.53775,0,0.25,0,0,0,0,0,27.27272727
Chuma Okeke,ORL,6,9,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.52335,1.5,1.5,0,0,0,0,0,9.090909091
Coby White,CHI,6,14,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0.54405,0,0.25,0,0,0,0,0,26.66666667
Sandro Mamukelashvili,MIL,6,10,4,2,2,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0.7213,1,1,0,0,0,0,0,16.66666667
Serge Ibaka,LAC,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692
Trey Murphy III,NOP,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.33315,0,0,0,0,0,0,0,11.11111111
Svi Mykhailiuk,TOR,6,12,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.57615,1.5,1.5,0,0,0,0,0,7.142857143
Precious Achiuwa,TOR,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enes Freedom,BOS,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7122,0,0,0,1,1,0,0,7.142857143
David Nwaba,HOU,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin Sexton,CLE,6,13,2,1,2,0.5,0,2,0,0,0,0,2,0,0,0,0,0,0.5,0.4916625,0.25,0.25,0,0,0,0,0,28.57142857
Semi Ojeleye,MIL,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4084,0,0,0,1,1,0,0,11.11111111
Aaron Wiggins,OKC,6,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,6.666666667
Bryn Forbes,SAS,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4288,0,0,0,1,1,0,0,10
Khem Birch,TOR,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Okogie,MIN,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.555,0,0,0,0,0,0,0,11.11111111
Daniel Theis,HOU,5,11,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.546,1.5,1.5,0,0,0,0,0,16.66666667
JT Thor,CHA,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bones Hyland,DEN,5,13,4,0,0,0,1,3,0.333333333,0.333333333,1,0,0,3,0,0,0,1,1,0.5746,0.5,0.5,0,0,0,0,0,28.57142857
Killian Hayes,DET,5,13,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.50985,0,0.166666667,0,0,0,0,0,28.57142857
D.J. Augustin,HOU,5,9,5,0,1,0,1,2,0.5,0.5,2,0,0,3,0,0,0,1,0.666666667,0.569566667,0.5,0.625,0,1,1,0,0,44.44444444
James Bouknight,CHA,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewayne Dedmon,MIA,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111
Josh Jackson,DET,5,13,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5065375,0,0,0,1,0.5,0,0,37.5
Paul Millsap,BKN,5,9,2,1,3,0.333333333,0,0,0,0,0,0,2,0,0,0,0,0,0,0.674766667,0.333333333,0.333333333,2,0,0,0,0,30.76923077
Josh Christopher,HOU,5,7,2,1,2,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.6951,0.5,0.5,0,0,0,0,0,28.57142857
Kenyon Martin Jr.,HOU,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armoni Brooks,HOU,5,7,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.5493,1.5,1.5,0,0,0,0,0,12.5
Nathan Knight,MIN,5,7,4,0,0,0,1,1,1,1,1,0,0,3,0,0,0,1,1,0.58275,1.5,1,0,0,0,0,0,25
Isaiah Thomas,LAL,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5754,0,0,0,0,0,0,0,10
Danuel House Jr.,HOU,5,10,3,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0.54495,1.5,1.5,0,0,0,0,0,8.333333333
Tomas Satoransky,NOP,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davon Reed,DEN,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jevon Carter,BKN,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6234,0,0,0,0,0,0,0,9.090909091
Tony Bradley,CHI,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7662,0,0,0,0,0,0,0,11.11111111
Grant Williams,BOS,4,7,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.7389,1,1,0,0,0,0,0,12.5
Killian Tillie,MEM,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.585,0,0,0,0,0,0,0,8.333333333
Jaxson Hayes,NOP,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justise Winslow,LAC,4,8,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.583425,0.75,0.5,0,0,0,0,0,37.5
Stanley Johnson,LAL,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udonis Haslem,MIA,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuta Watanabe,TOR,4,6,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.570375,0.75,0.75,0,0,0,0,0,33.33333333
Brandon Boston Jr.,LAC,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.36225,0,0,0,0,0,0,0,11.11111111
John Konchar,MEM,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6156,0,0,0,0,0,0,0,9.090909091
Ben McLemore,POR,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4839,0,0,0,0,0,0,0,11.11111111
Moritz Wagner,ORL,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.535275,0,0,0,0,0,0,0,28.57142857
R.J. Hampton,ORL,4,9,5,1,2,0.5,1,1,1,1,0,0,2,3,0,0,0,1,0.333333333,0.396216667,0.833333333,0.833333333,0,0,0,0,0,33.33333333
Theo Maledon,OKC,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Green,DAL,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Suggs,ORL,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Williams,ATL,4,10,4,2,4,0.5,0,1,0,0,0,0,4,0,0,0,0,0,0.2,0.56379,0.4,0.4,0,0,0,0,0,41.66666667
Ty Jerome,OKC,4,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.57645,0,0,0,0,0,0,0,37.5
DeMarcus Cousins,MIL,3,9,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.46245,0.5,0.5,0,1,0.5,0,0,18.18181818
Frank Kaminsky,PHX,3,5,3,1,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0.4305,1,1.5,0,0,0,0,0,40
Nerlens Noel,NYK,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Hernangomez,NOP,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111
Thaddeus Young,SAS,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naji Marshall,NOP,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Lopez,ORL,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3777,0,0,0,0,0,0,0,16.66666667
Hassan Whiteside,UTA,3,3,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.4752,1,1,0,0,0,0,0,25
Caleb Martin,MIA,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaVale McGee,PHX,3,6,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5499,0.5,0.5,0,0,0,0,0,28.57142857
Hassani Gravett,ORL,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429
Onyeka Okongwu,ATL,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boban Marjanovic,DAL,3,5,4,2,3,0.666666667,0,0,0,0,0,4,0,0,0,1,1,0,0,0.348433333,0.666666667,0.666666667,0,1,0.333333333,0,0,60
