Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Harrison Barnes,SAC,37,62,14,3,11,0.272727273,2,4,0.5,0.5,2,2,4,6,0,0.333333333,0.333333333,1,0.266666667,0.49462,0.4,0.4375,0,2,0.181818182,0,0,22.22222222
Terry Rozier,CHA,36,68,26,8,11,0.727272727,2,16,0.125,0.125,4,8,8,3,3,0.5,0.5,0.5,0.592592593,0.486225926,0.407407407,0.448275862,0,0,0,2,0.125,38.15789474
Stephen Curry,GSW,36,63,26,4,7,0.571428571,6,14,0.428571429,0.428571429,0,6,2,3,15,0.75,0.75,0.166666667,0.666666667,0.508314286,0.619047619,0.619047619,0,0,0,0,0,34.84848485
Ja Morant,MEM,36,69,26,6,18,0.333333333,2,3,0.666666667,0.666666667,8,0,12,3,3,0,0,0.5,0.142857143,0.402278571,0.428571429,0.464285714,0,6,0.333333333,0,0,37.20930233
Robert Williams III,BOS,35,72,18,6,8,0.75,0,0,0,0,6,6,6,0,0,0.5,1,0,0,0.6216875,0.75,0.818181818,6,1,0.125,0,0,13.92405063
Draymond Green,GSW,35,65,10,4,7,0.571428571,0,0,0,0,2,8,0,0,0,1,1,0,0,0.475142857,0.571428571,0.555555556,0,1,0.142857143,0,0,15.94202899
Derrick Rose,NYK,35,61,21,6,13,0.461538462,3,6,0.5,0.5,0,0,12,9,0,0,0,1,0.315789474,0.474268421,0.552631579,0.552631579,0,2,0.153846154,0,0,28.16901408
Luka Doncic,DAL,35,62,28,9,16,0.5625,3,7,0.428571429,0.428571429,1,2,16,0,9,0.111111111,0.111111111,0,0.304347826,0.463909091,0.586956522,0.583333333,0,1,0.0625,0,0,35.13513514
Al Horford,BOS,35,61,15,4,9,0.444444444,2,4,0.5,0.5,1,4,4,6,0,0.5,0.666666667,1,0.307692308,0.489230769,0.538461538,0.576923077,2,1,0.111111111,0,0,20.3125
Darius Garland,CLE,34,65,17,6,10,0.6,1,6,0.166666667,0.166666667,2,2,10,0,3,0.166666667,0.166666667,0,0.375,0.448284375,0.46875,0.5,0,1,0.1,0,0,29.57746479
Jusuf Nurkic,POR,34,64,12,5,7,0.714285714,0,0,0,0,2,8,2,0,0,0.8,1,0,0,0.589085714,0.714285714,0.75,2,0,0,0,0,10.66666667
Josh Richardson,BOS,34,62,5,1,5,0.2,1,2,0.5,0.5,0,0,2,3,0,0,0,1,0.285714286,0.459107143,0.357142857,0.357142857,0,0,0,0,0,11.76470588
Reggie Jackson,LAC,33,61,19,2,9,0.222222222,4,7,0.571428571,0.571428571,3,0,4,9,3,0,0,0.75,0.4375,0.453996875,0.5,0.527777778,0,1,0.111111111,0,0,29.85074627
Dejounte Murray,SAS,33,69,25,12,22,0.545454545,0,4,0,0,1,6,18,0,0,0.25,0.25,0,0.153846154,0.463438462,0.461538462,0.446428571,0,1,0.045454545,0,0,36.70886076
Alex Caruso,CHI,33,63,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.53745,0,0.166666667,0,0,0,0,0,6.493506494
Caris LeVert,IND,33,62,16,4,13,0.307692308,1,6,0.166666667,0.166666667,5,0,8,3,0,0,0,1,0.315789474,0.446739474,0.289473684,0.363636364,0,2,0.153846154,0,0,29.72972973
Andrew Wiggins,GSW,33,55,13,5,8,0.625,1,3,0.333333333,0.333333333,0,6,4,0,3,0.6,0.6,0,0.272727273,0.465027273,0.590909091,0.590909091,0,0,0,0,0,22.4137931
Gary Trent Jr.,TOR,33,60,28,5,9,0.555555556,6,7,0.857142857,0.857142857,0,6,4,12,6,0.6,0.6,0.666666667,0.4375,0.46804375,0.875,0.875,0,0,0,0,0,26.08695652
Scottie Barnes,TOR,32,59,9,3,4,0.75,1,2,0.5,0.5,0,2,4,0,3,0.333333333,0.333333333,0,0.333333333,0.439516667,0.75,0.75,0,0,0,0,0,11.76470588
Darius Bazley,OKC,32,67,9,3,5,0.6,1,3,0.333333333,0.333333333,0,2,4,3,0,0.333333333,0.5,1,0.375,0.5348625,0.5625,0.5625,2,1,0.2,0,0,13.75
Ricky Rubio,CLE,32,58,14,3,5,0.6,1,8,0.125,0.125,5,2,4,3,0,0.333333333,0.333333333,1,0.615384615,0.530319231,0.346153846,0.411764706,0,0,0,0,0,27.27272727
Terance Mann,LAC,32,59,7,3,10,0.3,0,0,0,0,1,6,0,0,0,1,1,0,0,0.48408,0.3,0.35,0,0,0,0,0,16.17647059
Robert Covington,POR,32,59,8,1,1,1,2,7,0.285714286,0.285714286,0,2,0,6,0,1,1,1,0.875,0.51925,0.5,0.5,0,0,0,0,0,11.26760563
James Johnson,BKN,31,49,10,2,4,0.5,2,3,0.666666667,0.666666667,0,2,2,6,0,0.5,0.5,1,0.428571429,0.637214286,0.714285714,0.625,0,0,0,0,0,14.81481481
T.J. McConnell,IND,31,61,12,5,9,0.555555556,0,1,0,0,2,4,6,0,0,0.4,0.4,0,0.1,0.46919,0.5,0.545454545,0,0,0,0,0,16.41791045
De'Anthony Melton,MEM,31,60,12,5,9,0.555555556,0,6,0,0,2,8,2,0,0,0.8,0.8,0,0.4,0.463833333,0.333333333,0.375,0,0,0,0,0,22.85714286
Kristaps Porzingis,DAL,31,54,21,7,13,0.538461538,1,6,0.166666667,0.166666667,4,8,6,3,0,0.571428571,0.8,1,0.315789474,0.491721053,0.447368421,0.5,4,0,0,0,0,33.84615385
